,Date,River discharge (m3/s)
0,1981-01-01,80.98030090332031
1,1981-01-02,79.87979888916016
2,1981-01-03,75.8906021118164
3,1981-01-04,73.47049713134766
4,1981-01-05,90.05030059814453
5,1981-01-06,106.42420196533203
6,1981-01-07,97.53050231933594
7,1981-01-08,88.46050262451172
8,1981-01-09,81.11479949951172
9,1981-01-10,74.97599792480469
10,1981-01-11,69.8197021484375
11,1981-01-12,65.8936996459961
12,1981-01-13,64.01429748535156
13,1981-01-14,82.2761001586914
14,1981-01-15,99.55130004882812
15,1981-01-16,95.51789855957031
16,1981-01-17,89.73789978027344
17,1981-01-18,81.80500030517578
18,1981-01-19,74.91320037841797
19,1981-01-20,69.45140075683594
20,1981-01-21,65.11830139160156
21,1981-01-22,61.65549850463867
22,1981-01-23,58.820899963378906
23,1981-01-24,56.38819885253906
24,1981-01-25,54.29100036621094
25,1981-01-26,52.44609832763672
26,1981-01-27,50.79949951171875
27,1981-01-28,49.36579895019531
28,1981-01-29,48.128700256347656
29,1981-01-30,47.00709915161133
30,1981-01-31,45.98059844970703
31,1981-02-01,44.90629959106445
32,1981-02-02,47.51470184326172
33,1981-02-03,55.47359848022461
34,1981-02-04,59.584800720214844
35,1981-02-05,111.6417007446289
36,1981-02-06,124.25659942626953
37,1981-02-07,108.51399993896484
38,1981-02-08,95.04419708251953
39,1981-02-09,95.34359741210938
40,1981-02-10,90.35399627685547
41,1981-02-11,86.00370025634766
42,1981-02-12,120.01139831542969
43,1981-02-13,131.1417999267578
44,1981-02-14,128.6678009033203
45,1981-02-15,112.47109985351562
46,1981-02-16,98.80740356445312
47,1981-02-17,89.47029876708984
48,1981-02-18,82.30809783935547
49,1981-02-19,76.30809783935547
50,1981-02-20,71.3948974609375
51,1981-02-21,73.44039916992188
52,1981-02-22,89.56780242919922
53,1981-02-23,95.40910339355469
54,1981-02-24,87.90650177001953
55,1981-02-25,80.7416000366211
56,1981-02-26,74.67539978027344
57,1981-02-27,69.4677963256836
58,1981-02-28,65.59819793701172
59,1981-03-01,61.9807014465332
60,1981-03-02,59.31100082397461
61,1981-03-03,103.27880096435547
62,1981-03-04,157.7156982421875
63,1981-03-05,164.6197967529297
64,1981-03-06,152.40170288085938
65,1981-03-07,132.0697021484375
66,1981-03-08,118.84200286865234
67,1981-03-09,112.19550323486328
68,1981-03-10,120.48480224609375
69,1981-03-11,135.6562957763672
70,1981-03-12,145.9420928955078
71,1981-03-13,154.01600646972656
72,1981-03-14,176.53489685058594
