,Date,River discharge (m3/s)
0,1981-01-01,319.8027038574219
1,1981-01-02,302.6654052734375
2,1981-01-03,286.1141052246094
3,1981-01-04,278.2538146972656
4,1981-01-05,273.1083068847656
5,1981-01-06,265.9283142089844
6,1981-01-07,259.4075927734375
7,1981-01-08,254.3798065185547
8,1981-01-09,249.86549377441406
9,1981-01-10,245.04190063476562
10,1981-01-11,239.62649536132812
11,1981-01-12,233.80059814453125
12,1981-01-13,242.13909912109375
13,1981-01-14,250.3988037109375
14,1981-01-15,252.43460083007812
15,1981-01-16,263.6585998535156
16,1981-01-17,261.11669921875
17,1981-01-18,258.7677001953125
18,1981-01-19,254.31210327148438
19,1981-01-20,250.13600158691406
20,1981-01-21,244.35440063476562
21,1981-01-22,237.6938934326172
22,1981-01-23,230.32989501953125
23,1981-01-24,222.88369750976562
24,1981-01-25,214.89559936523438
25,1981-01-26,206.79649353027344
26,1981-01-27,198.7666015625
27,1981-01-28,190.91969299316406
28,1981-01-29,183.35189819335938
29,1981-01-30,176.11669921875
30,1981-01-31,169.74899291992188
31,1981-02-01,164.6407012939453
32,1981-02-02,161.0841064453125
33,1981-02-03,158.44790649414062
34,1981-02-04,160.2816925048828
35,1981-02-05,198.1573028564453
36,1981-02-06,206.49630737304688
37,1981-02-07,216.31069946289062
38,1981-02-08,227.0128936767578
39,1981-02-09,237.06809997558594
40,1981-02-10,245.7324981689453
41,1981-02-11,253.91380310058594
42,1981-02-12,282.989013671875
43,1981-02-13,309.1087951660156
44,1981-02-14,335.3230895996094
45,1981-02-15,355.4927062988281
46,1981-02-16,369.5409851074219
47,1981-02-17,376.1487121582031
48,1981-02-18,375.01220703125
49,1981-02-19,367.6852111816406
50,1981-02-20,357.1852111816406
51,1981-02-21,358.4573059082031
52,1981-02-22,345.96929931640625
53,1981-02-23,335.5793151855469
54,1981-02-24,329.62811279296875
55,1981-02-25,326.33770751953125
56,1981-02-26,324.1669006347656
57,1981-02-27,319.2372131347656
58,1981-02-28,311.9512023925781
59,1981-03-01,302.2820129394531
60,1981-03-02,295.49591064453125
61,1981-03-03,328.6673889160156
62,1981-03-04,384.88140869140625
63,1981-03-05,426.224609375
64,1981-03-06,463.8955993652344
65,1981-03-07,495.62469482421875
66,1981-03-08,514.9805297851562
67,1981-03-09,520.2324829101562
68,1981-03-10,514.9249267578125
69,1981-03-11,505.5841064453125
70,1981-03-12,497.9193115234375
71,1981-03-13,501.20208740234375
72,1981-03-14,521.9271850585938
73,1981-03-15,547.1035766601562
74,1981-03-16,573.8411865234375
75,1981-03-17,596.3651123046875
